file_name,source_label,split,predictions,cross_entropy_loss,logits
pixabay_dog_002844.jpg,dog,train,1,0.01265,[-3.78483  4.55992 -3.29726]
pixabay_wild_000479.jpg,wild,train,2,0.01265,[-2.46565 -3.40853  3.65769]
pixabay_dog_003582.jpg,dog,val,1,0.01265,[-4.35844  4.86403 -3.54818]
pixabay_cat_000455.jpg,cat,train,0,0.01265,[ 5.98286 -4.57829 -3.68274]
pixabay_cat_001993.jpg,cat,val,0,0.01265,[ 5.82753 -4.45384 -3.77564]
pixabay_cat_004633.jpg,cat,val,0,0.01265,[ 5.95256 -4.7204  -4.48657]
pixabay_dog_001395.jpg,dog,train,1,0.01265,[-4.19648  2.87423 -0.17387]
pixabay_cat_002242.jpg,cat,val,0,0.01265,[ 5.5452  -3.13616 -5.03907]
pixabay_cat_002524.jpg,cat,val,0,0.01265,[ 1.90272 -3.1325  -3.54204]
pixabay_dog_000935.jpg,dog,train,1,0.01265,[-4.19794  2.4022  -1.10601]
pixabay_cat_004155.jpg,cat,val,0,0.01265,[ 4.92787 -2.24243 -5.22729]
flickr_cat_000619.jpg,cat,train,0,0.01265,[ 4.67625 -1.94977 -4.85797]
pixabay_wild_001001.jpg,wild,train,2,0.01265,[-1.8248  -5.44196  3.51039]
pixabay_cat_000333.jpg,cat,train,0,0.01265,[ 5.00445 -5.00259 -1.70343]
pixabay_cat_000327.jpg,cat,train,0,0.01265,[ 3.14529 -3.80749 -2.57264]
pixabay_wild_001015.jpg,wild,val,2,0.01265,[-3.30041 -4.34383  4.09791]
pixabay_cat_001039.jpg,cat,val,0,0.01265,[ 5.69279 -3.52173 -3.57408]
pixabay_cat_002530.jpg,cat,val,0,0.01265,[ 3.01669 -1.95257 -4.178  ]
pixabay_cat_004141.jpg,cat,train,0,0.01265,[ 4.05335 -2.851   -3.01982]
pixabay_dog_000921.jpg,dog,val,1,0.01265,[-4.01036  2.82725 -0.96873]
pixabay_cat_004627.jpg,cat,train,0,0.01265,[ 3.41348 -2.85822 -2.80816]
pixabay_dog_001381.jpg,dog,train,1,0.01265,[-1.65737  3.19445 -3.19478]
pixabay_cat_003148.jpg,cat,val,0,0.01265,[ 5.97034 -3.17304 -4.70611]
pixabay_cat_002256.jpg,cat,train,0,0.01265,[ 4.93763 -4.28104 -1.5241 ]
pixabay_dog_002850.jpg,dog,train,1,0.01265,[-2.6648   4.71697 -5.10801]
pixabay_dog_003596.jpg,dog,train,1,0.01265,[-5.06018  3.49844 -2.09597]
pixabay_cat_000441.jpg,cat,train,0,0.01265,[ 6.21937 -3.16287 -4.77163]
pixabay_dog_002688.jpg,dog,train,1,0.01265,[-3.62622  2.53838 -4.82912]
pixabay_cat_001987.jpg,cat,val,0,0.01265,[ 6.73725 -2.3844  -6.48798]
flickr_wild_001922.jpg,wild,train,2,0.01265,[-2.38114 -3.55528  3.76632]
pixabay_cat_003160.jpg,cat,train,0,0.01265,[ 3.15282 -4.71979 -2.27068]
pixabay_dog_002878.jpg,dog,train,1,0.01265,[-2.11367  2.68637 -2.49617]
pixabay_cat_001777.jpg,cat,train,0,0.01265,[ 4.47355 -1.58289 -4.05268]
pixabay_wild_000445.jpg,wild,train,2,0.01265,[-3.62028 -3.27919  2.39535]
pixabay_cat_000469.jpg,cat,train,0,0.01265,[ 4.92745 -2.57271 -4.74531]
flickr_cat_000143.jpg,cat,train,0,0.01265,[ 5.06975 -5.19009 -2.5428 ]
flickr_cat_000625.jpg,cat,val,0,0.01265,[ 6.22901 -2.5708  -4.39182]
flickr_wild_002595.jpg,wild,train,2,0.01265,[-3.14373 -0.52081  3.12857]
pixabay_cat_001011.jpg,cat,train,0,0.01265,[ 4.69644 -5.24407 -1.93442]
pixabay_wild_000323.jpg,wild,train,2,0.01265,[-1.71986 -4.87816  3.39662]
flickr_wild_003853.jpg,wild,test,2,0.01265,[-3.62648 -5.48073  4.39577]
pixabay_cat_002518.jpg,cat,train,0,0.01265,[ 4.50498 -1.82092 -4.91068]
pixabay_cat_003606.jpg,cat,train,0,0.01265,[ 6.68915 -3.70327 -5.81485]
